treeId,UniprotIds_count,genes_count_1F,genes_count_1P,genes_count_1IBA,goTerms_count_F,goTerms_count_P
PTHR10003,269,24,25,262,12,106
PTHR10004,7,0,0,2,0,0
PTHR10012,69,3,4,68,8,14
PTHR10013,81,4,5,79,1,13
PTHR10015,1178,39,37,1156,29,119
PTHR10019,69,8,6,69,7,34
PTHR10024,88,36,33,88,23,102
PTHR10026,474,28,28,461,21,63
PTHR10027,38,11,13,22,12,49
PTHR10029,15,4,1,15,4,1
PTHR10030,137,6,4,137,6,7
PTHR10031,173,6,4,172,4,15
PTHR10037,69,35,37,68,27,118
PTHR10044,25,15,18,23,28,94
PTHR10046,71,3,5,66,9,11
PTHR10048,292,42,50,278,23,223
PTHR10052,155,5,3,0,2,4
PTHR10055,92,4,3,92,6,8
PTHR10057,83,6,8,6,6,48
PTHR10060,74,5,4,74,8,9
PTHR10061,69,6,4,68,5,4
PTHR10064,167,9,5,165,7,5
PTHR10067,125,10,6,124,3,8
PTHR10071,49,35,41,49,32,352
PTHR10072,79,4,6,79,7,7
PTHR10073,217,11,19,211,10,49
PTHR10083,27,0,5,27,0,15
PTHR10091,274,2,4,271,1,7
PTHR10093,107,6,10,104,11,8
PTHR10094,69,0,2,0,0,8
PTHR10098,27,2,2,0,2,3
PTHR10099,106,5,7,0,3,9
PTHR10102,214,6,4,199,5,3
PTHR10106,279,5,2,275,3,5
PTHR10108,1291,2,2,60,2,6
PTHR10110,454,24,28,434,8,103
PTHR10113,167,6,8,165,6,6
PTHR10114,151,4,4,150,4,3
PTHR10117,43,21,20,43,22,61
PTHR10120,135,6,7,132,4,68
PTHR10121,106,1,3,102,1,12
PTHR10122,122,3,3,120,4,6
PTHR10125,39,32,29,34,29,152
PTHR10126,150,17,15,144,25,32
PTHR10130,92,7,9,92,11,28
PTHR10131,152,16,20,31,22,93
PTHR10133,231,9,10,225,12,31
PTHR10134,179,11,9,176,6,17
PTHR10137,95,5,3,93,3,6
PTHR10139,67,7,6,66,15,33
PTHR10145,87,6,8,86,6,36
PTHR10146,109,3,0,104,2,0
PTHR10150,61,7,9,61,13,42
PTHR10151,137,19,17,18,21,78
PTHR10157,56,5,6,16,5,52
PTHR10159,122,33,32,121,17,129
PTHR10160,9,2,3,9,5,10
PTHR10161,200,4,4,198,5,24
PTHR10165,306,19,22,295,11,44
PTHR10166,46,9,12,45,3,34
PTHR10168,945,19,12,30,1,13
PTHR10169,110,8,11,104,21,45
PTHR10173,56,7,7,53,5,8
PTHR10174,46,8,8,46,9,20
PTHR10177,1691,86,73,1638,18,262
PTHR10182,215,3,6,212,4,15
PTHR10183,147,22,25,141,19,103
