family ID,family name,subfamily name,taxon range,Amborella trichopoda,Arabidopsis thaliana,Brachypodium distachyon,Brassica napus,Brassica rapa subsp. Pekinensis,Capsicum annuum,Chlamydomonas reinhardtii,Citrus sinensis,Cucumis sativus,Erythranthe guttata,Eucalyptus grandis,Glycine max,Gossypium hirsutum,Helianthus annuus,Hordeum vulgare subsp. vulgare,Juglans regia,Lactuca sativa,Manihot esculenta,Medicago truncatula,Musa acuminata subsp. malaccensis,Nelumbo nucifera,Nicotiana tabacum,Oryza sativa,Ostreococcus tauri,Phoenix dactylifera,Physcomitrella patens,Populus trichocarpa,Prunus persica,Ricinus communis,Selaginella moellendorffii,Setaria italica,Solanum lycopersicum,Solanum tuberosum,Sorghum bicolor,Spinacia oleracea,Theobroma cacao,Triticum aestivum,Vitis vinifera,Zea mays,Zostera marina,Caenorhabditis elegans,Danio rerio,Dictyostelium discoideum,Drosophila melanogaster,Escherichia coli,Homo sapiens,Mus musculus,Rattus norvegicus,Saccharomyces cerevisiae,Schizosaccharomyces pombe,GO terms (F),GO terms (P)
PTHR10003,SUPEROXIDE DISMUTASE  CU-ZN -RELATED,EXTRACELLULAR SUPEROXIDE DISMUTASE [CU-ZN]|COPPER CHAPERONE FOR SUPEROXIDE DISMUTASE|SOD_CU DOMAIN-CONTAINING PROTEIN|HMA DOMAIN-CONTAINING PROTEIN|SUPEROXIDE DISMUTASE [CU-ZN]|SUPEROXIDE DISMUTASE [CU-ZN] 3|SUPEROXIDE DISMUTASE [CU-ZN] 2|EXTRACELLULAR SUPEROXIDE DISMUTASE [CU-ZN] 2|EXTRACELLULAR SUPEROXIDE DISMUTASE [CU-ZN] 3|SUPEROXIDE DISMUTASE|,LUCA,4,4,4,9,0,5,0,9,5,5,5,7,11,5,6,7,4,4,4,7,6,8,5,3,8,10,8,4,4,8,8,7,4,5,4,5,11,7,7,3,3,4,7,4,1,3,3,3,2,2,chaperone binding|copper chaperone activity|copper ion binding|enzyme binding|identical protein binding|protein binding|protein homodimerization activity|protein phosphatase 2B binding|small GTPase binding|superoxide dismutase activity|superoxide dismutase copper chaperone activity|zinc ion binding,UV protection|activation of MAPK activity|age-dependent response to oxidative stress|aggregation involved in sorocarp development|aging|anterograde axonal transport|auditory receptor cell stereocilium organization|cell aging|cell redox homeostasis|cellular copper ion homeostasis|cellular iron ion homeostasis|cellular response to ATP|cellular response to UV-B|cellular response to cadmium ion|cellular response to copper ion|cellular response to high light intensity|cellular response to light intensity|cellular response to metal ion|cellular response to oxidative stress|cellular response to ozone|cellular response to potassium ion|cellular response to salt stress|cellular response to starvation|cellular response to sucrose stimulus|cellular zinc ion homeostasis|defense response to bacterium|determination of adult lifespan|embryo implantation|establishment or maintenance of cell polarity|fungal-type cell wall organization|gene silencing by miRNA|glutathione metabolic process|heart contraction|hydrogen peroxide biosynthetic process|locomotory behavior|mitotic cytokinesis|muscle cell cellular homeostasis|myeloid cell homeostasis|negative regulation of apoptotic process|negative regulation of cellular respiration|negative regulation of cholesterol biosynthetic process|negative regulation of inflammatory response|negative regulation of neuron apoptotic process|neurofilament cytoskeleton organization|neuron cellular homeostasis|ovarian follicle development|oxidation-reduction process|peripheral nervous system myelin maintenance|positive regulation of DNA-binding transcription factor activity|positive regulation of catalytic activity|positive regulation of cytokine production|positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway|positive regulation of oxidoreductase activity|positive regulation of phagocytosis|positive regulation of superoxide anion generation|positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress|protein maturation by copper ion transfer|protein stabilization|reactive oxygen species metabolic process|regulation of GTPase activity|regulation of actin cytoskeleton organization|regulation of autophagy of mitochondrion|regulation of blood pressure|regulation of blood vessel diameter|regulation of brood size|regulation of mitochondrial membrane potential|regulation of multicellular organism growth|regulation of protein kinase activity|regulation of protein localization|regulation of synaptic plasticity|regulation of terminal button organization|regulation of vulval development|relaxation of vascular smooth muscle|removal of superoxide radicals|response to UV|response to amphetamine|response to antibiotic|response to antipsychotic drug|response to axon injury|response to carbon monoxide|response to copper ion|response to curcumin|response to drug|response to ethanol|response to heat|response to hydrogen peroxide|response to hypoxia|response to iron ion|response to light stimulus|response to metal ion|response to methylmercury|response to nutrient levels|response to organic substance|response to oxidative stress|response to ozone|response to reactive oxygen species|response to salt stress|response to superoxide|response to xenobiotic stimulus|retina homeostasis|retrograde axonal transport|seed trichome elongation|sensory perception of sound|spermatogenesis|superoxide anion generation|superoxide metabolic process|transmission of nerve impulse
PTHR10004,UNCHARACTERIZED,OS06G0538200 PROTEIN|,Viridiplantae,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,peptidase activity,signal peptide processing
PTHR10012,SERINE/THREONINE-PROTEIN PHOSPHATASE 2A REGULATORY SUBUNIT B,SERINE/THREONINE-PROTEIN PHOSPHATASE 2A ACTIVATOR|SERINE/THREONINE-PROTEIN PHOSPHATASE 2A ACTIVATOR 2|SERINE/THREONINE-PROTEIN PHOSPHATASE 2A ACTIVATOR 1|SERINE/THREONINE-PROTEIN PHOSPHATASE 2A ACTIVATOR 2-RELATED|,Eukaryota,1,1,1,1,0,1,1,1,2,1,1,2,3,1,1,2,1,1,1,2,2,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,3,2,1,1,1,1,2,3,0,1,1,1,2,2,ATP binding|peptidyl-prolyl cis-trans isomerase activity|protein binding|protein homodimerization activity|protein phosphatase 2A binding|protein phosphatase regulator activity|protein tyrosine phosphatase activator activity|signaling receptor binding,DNA repair|G1/S transition of mitotic cell cycle|autophagy|basal protein localization|mitotic spindle organization|negative regulation of phosphoprotein phosphatase activity|negative regulation of protein dephosphorylation|positive regulation of apoptotic process|positive regulation of phosphoprotein phosphatase activity|positive regulation of protein dephosphorylation|regulation of asymmetric protein localization involved in cell fate determination|regulation of phosphoprotein phosphatase activity|regulation of transcription from RNA polymerase II promoter in response to stress|response to osmotic stress
PTHR10013,GENERAL VESICULAR TRANSPORT FACTOR P115,GENERAL VESICULAR TRANSPORT FACTOR P115|USO1_P115_C DOMAIN-CONTAINING PROTEIN|,Eukaryota,1,1,1,3,0,3,9,1,1,1,1,3,3,1,1,1,1,2,1,2,1,2,1,1,1,1,1,2,1,2,2,3,1,1,1,1,3,1,5,0,1,1,1,1,0,1,1,1,2,1,protein binding,Golgi organization|Golgi vesicle docking|SNARE complex assembly|endoplasmic reticulum to Golgi vesicle-mediated transport|intracellular protein transport|membrane fusion|post-embryonic development|protein exit from endoplasmic reticulum|regulation of G2/M transition of mitotic cell cycle|regulation of cellular response to insulin stimulus|regulation of imaginal disc-derived wing size|secretory granule localization|small GTPase mediated signal transduction|transcytosis
PTHR10015,HEAT SHOCK TRANSCRIPTION FACTOR,"HEAT SHOCK FACTOR PROTEIN|HSF_DOMAIN DOMAIN-CONTAINING PROTEIN|HEAT SHOCK FACTOR PROTEIN 5|HEAT SHOCK TRANSCRIPTION FACTOR, X-LINKED MEMBER 3-RELATED|HEAT SHOCK TRANSCRIPTION FACTOR, X-LINKED|HEAT SHOCK TRANSCRIPTION FACTOR, Y-LINKED|HEAT SHOCK FACTOR PROTEIN 1|HEAT SHOCK FACTOR PROTEIN 2|HEAT SHOCK FACTOR PROTEIN 3|HEAT SHOCK FACTOR PROTEIN 4|TRANSCRIPTION FACTOR SKN7|FLOCCULATION SUPPRESSION PROTEIN|PROTEIN MGA1|HEAT STRESS TRANSCRIPTION FACTOR B-4A-RELATED|HEAT STRESS TRANSCRIPTION FACTOR B-4C|HEAT STRESS TRANSCRIPTION FACTOR B-2A|HEAT STRESS TRANSCRIPTION FACTOR B-4D|HEAT STRESS TRANSCRIPTION FACTOR B-3|HEAT STRESS TRANSCRIPTION FACTOR B-1|HEAT STRESS TRANSCRIPTION FACTOR B-2C|HEAT STRESS TRANSCRIPTION FACTOR B-2B|HEAT STRESS TRANSCRIPTION FACTOR B-4|E2F/DP FAMILY WINGED-HELIX DNA-BINDING DOMAIN-CONTAINING PROTEIN-RELATED|HEAT STRESS TRANSCRIPTION FACTOR A-4B|HEAT STRESS TRANSCRIPTION FACTOR A-3|HEAT STRESS TRANSCRIPTION FACTOR A-2|HEAT STRESS TRANSCRIPTION FACTOR A-9|WINGED HELIX-TURN-HELIX DNA-BINDING DOMAIN, HEAT SHOCK TRANSCRIPTION FACTOR FAMILY-RELATED|HEAT STRESS TRANSCRIPTION FACTOR A-5|OS11G0195000 PROTEIN|HEAT STRESS TRANSCRIPTION FACTOR A-2E|HEAT STRESS TRANSCRIPTION FACTOR A-2D|HEAT STRESS TRANSCRIPTION FACTOR A-6A|HEAT STRESS TRANSCRIPTION FACTOR A-2C|HEAT STRESS TRANSCRIPTION FACTOR A-2A|HEAT STRESS TRANSCRIPTION FACTOR A-2B|HEAT STRESS TRANSCRIPTION FACTOR A-6B|HEAT STRESS TRANSCRIPTION FACTOR A-7B|HEAT STRESS TRANSCRIPTION FACTOR A-7A|HEAT STRESS TRANSCRIPTION FACTOR C-1|HEAT STRESS TRANSCRIPTION FACTOR C-1B|HEAT STRESS TRANSCRIPTION FACTOR C-2A|HEAT STRESS TRANSCRIPTION FACTOR C-2B|HEAT STRESS TRANSCRIPTION FACTOR A-4D|HEAT STRESS TRANSCRIPTION FACTOR A-1B|HEAT STRESS TRANSCRIPTION FACTOR A-1E|HEAT STRESS TRANSCRIPTION FACTOR A-8|HEAT STRESS TRANSCRIPTION FACTOR A-4A|HEAT STRESS TRANSCRIPTION FACTOR A-4C|SHOCK FACTOR PROTEIN HSF8, PUTATIVE-RELATED|HEAT STRESS TRANSCRIPTION FACTOR A-1D|BNAA03G49000D PROTEIN|",Eukaryota,13,24,25,53,0,26,2,19,23,21,38,52,73,36,26,33,33,32,28,43,25,46,26,1,28,8,31,18,19,12,28,27,29,24,14,18,78,19,29,11,1,5,1,1,0,8,6,5,4,2,"DNA binding|DNA-binding transcription activator activity, RNA polymerase II-specific|DNA-binding transcription factor activity|DNA-binding transcription factor activity, RNA polymerase II-specific|DNA-binding transcription repressor activity, RNA polymerase II-specific|Hsp90 protein binding|RNA binding|RNA polymerase II cis-regulatory region sequence-specific DNA binding|RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding|RNA polymerase II repressing transcription factor binding|RNA polymerase II transcription regulatory region sequence-specific DNA binding|STAT family protein binding|calmodulin binding|chromatin DNA binding|chromatin binding|heat shock protein binding|identical protein binding|phosphorelay response regulator activity|promoter-specific chromatin binding|protein binding|protein heterodimerization activity|protein homodimerization activity|protein kinase binding|protein phosphatase binding|protein self-association|sequence-specific DNA binding|sequence-specific double-stranded DNA binding|sequence-specific single stranded DNA binding|transcription regulatory region sequence-specific DNA binding|translation elongation factor binding","MAPK cascade|RNA modification|asymmetric cell division|camera-type eye development|cell development|cellular protein-containing complex assembly|cellular response to L-glutamine|cellular response to amino acid stimulus|cellular response to angiotensin|cellular response to cadmium ion|cellular response to copper ion|cellular response to diamide|cellular response to drug|cellular response to estradiol stimulus|cellular response to gamma radiation|cellular response to heat|cellular response to hydrogen peroxide|cellular response to hypoxia|cellular response to lipopolysaccharide|cellular response to nitroglycerin|cellular response to organic cyclic compound|cellular response to potassium ion|cellular response to radiation|cellular response to sodium arsenite|cellular response to unfolded protein|dauer larval development|defense response|defense response to Gram-negative bacterium|defense response to bacterium|defense response to fungus|determination of adult lifespan|embryonic placenta development|embryonic process involved in female pregnancy|eye development|female meiotic nuclear division|fruit morphogenesis|gene silencing|heat acclimation|histone H3-K9 demethylation|in utero embryonic development|innate immune response|lateral root development|lens development in camera-type eye|lens fiber cell differentiation|lens morphogenesis in camera-type eye|mRNA transcription|negative regulation of TORC1 signaling|negative regulation of cardiac muscle cell apoptotic process|negative regulation of cell population proliferation|negative regulation of double-strand break repair via nonhomologous end joining|negative regulation of gene expression|negative regulation of inclusion body assembly|negative regulation of neuron death|negative regulation of protein-containing complex assembly|negative regulation of transcription by RNA polymerase II|negative regulation of transcription, DNA-templated|negative regulation of tumor necrosis factor production|nematode larval development|positive gravitropism|positive regulation of DNA binding|positive regulation of apoptotic DNA fragmentation|positive regulation of autophagy|positive regulation of cell differentiation|positive regulation of cell population proliferation|positive regulation of cold-induced thermogenesis|positive regulation of cysteine-type endopeptidase activity involved in apoptotic process|positive regulation of deoxyribonuclease activity|positive regulation of gene expression|positive regulation of inclusion body assembly|positive regulation of induction of conjugation with cellular fusion|positive regulation of mRNA polyadenylation|positive regulation of microtubule binding|positive regulation of mitotic cell cycle|positive regulation of multicellular organism growth|positive regulation of transcription by RNA polymerase II|positive regulation of transcription from RNA polymerase II promoter in response to heat stress|positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress|positive regulation of transcription initiation from RNA polymerase II promoter|positive regulation of transcription, DNA-templated|positive regulation of tyrosine phosphorylation of STAT protein|protein K11-linked ubiquitination|protein phosphorylation|pseudohyphal growth|regulation of cell size|regulation of cellular protein metabolic process|regulation of cellular response to heat|regulation of endoplasmic reticulum unfolded protein response|regulation of establishment of protein localization to chromosome|regulation of lens fiber cell differentiation|regulation of protein localization by the Cvt pathway|regulation of spindle checkpoint|regulation of transcription by RNA polymerase II|regulation of transcription from RNA polymerase II promoter in response to oxidative stress|regulation of transcription, DNA-templated|regulation of translation in response to stress|response to abscisic acid|response to activity|response to amino acid|response to auxin|response to cadmium ion|response to chitin|response to estradiol|response to heat|response to hydrogen peroxide|response to hypobaric hypoxia|response to hypoxia|response to lipopolysaccharide|response to nutrient|response to organic cyclic compound|response to organonitrogen compound|response to osmotic stress|response to peptide|response to psychosocial stress|response to reactive oxygen species|response to singlet oxygen|response to testosterone|response to topologically incorrect protein|root development|spermatogenesis|transcription elongation from RNA polymerase II promoter|visual perception"
PTHR10019,SNF5,SWI/SNF CHROMATIN-REMODELING COMPLEX SUBUNIT SNF5|SWI/SNF-RELATED MATRIX-ASSOCIATED ACTIN-DEPENDENT REGULATOR OF CHROMATIN SUBFAMILY B MEMBER 1|,Eukaryota,1,1,1,0,0,1,3,1,1,1,1,3,4,1,1,1,1,1,1,2,1,3,1,0,1,0,1,1,1,2,1,2,0,1,1,1,3,1,1,1,1,2,7,2,0,1,1,1,2,2,DNA binding|RNA polymerase II activating transcription factor binding|SET domain binding|Tat protein binding|p53 binding|protein binding|transcription coactivator activity|transcription coregulator activity|ubiquitin protein ligase activity,"blastocyst development|blastocyst hatching|carbon catabolite activation of transcription from RNA polymerase II promoter|cell dedifferentiation|cell differentiation|chromatin remodeling|chromatin remodeling at centromere|chromosome segregation|dendrite guidance|double-strand break repair|double-strand break repair via homologous recombination|imaginal disc-derived wing margin morphogenesis|imaginal disc-derived wing vein morphogenesis|imaginal disc-derived wing vein specification|negative regulation of cell population proliferation|negative regulation of histone H3-K9 dimethylation|negative regulation of histone H3-K9 trimethylation|negative regulation of neuroblast proliferation|neuronal stem cell population maintenance|nucleosome disassembly|positive regulation by host of viral transcription|positive regulation of DNA-binding transcription factor activity|positive regulation of glucose mediated signaling pathway|positive regulation of histone H3-K9 acetylation|positive regulation of histone H4 acetylation|positive regulation of invasive growth in response to glucose limitation|positive regulation of transcription by RNA polymerase II|positive regulation of transcription of nucleolar large rRNA by RNA polymerase I|positive regulation of transcription, DNA-templated|regulation of iron ion import into cell by regulation of transcription from RNA polymerase II promoter|regulation of nuclear cell cycle DNA replication|regulation of transcription by RNA polymerase II|single stranded viral RNA replication via double stranded DNA intermediate|transcription elongation from RNA polymerase II promoter|ubiquitin-dependent protein catabolic process"
PTHR10024,SYNAPTOTAGMIN,"MIP05618P|SYNAPTOTAGMIN-12|SYNAPTOTAGMIN 1-LIKE PROTEIN|SYNAPTOTAGMIN-6|SYNAPTOTAGMIN-10|SYNAPTOTAGMIN-3|SYNAPTOTAGMIN-9|SYNAPTOTAGMIN IXA|SYNAPTOTAGMIN BETA, ISOFORM D|SYNAPTOTAGMIN-15|PROTOSTOME-SPECIFIC GEF, ISOFORM E-RELATED|FI18813P1|C2 DOMAIN-CONTAINING PROTEIN|SYNAPTOTAGMIN-11|SYNAPTOTAGMIN-4|SYNAPTOTAGMIN-17|SYNAPTOTAGMIN-7|SYNAPTOTAGMIN VIIA|SYNAPTOTAGMIN 1|SYNAPTOTAGMIN-13|SYNAPTOTAGMIN-2|SYNAPTOTAGMIN VA|SYNAPTOTAGMIN VB|SYNAPTOTAGMIN-8|SYNAPTOTAGMIN-1|SYNAPTOTAGMIN-5|SYNAPTOTAGMIN|SUPPRESSOR OF ELONGATION DEFECT|SYNAPTOTAGMIN 2|PROTEIN CBG19188|",Eukaryota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,24,0,7,0,15,15,15,0,0,"SNARE binding|beta-tubulin binding|calcium ion binding|calcium ion sensor activity|calcium-dependent phospholipid binding|calcium-dependent protein binding|calmodulin binding|clathrin binding|identical protein binding|inositol 1,3,4,5 tetrakisphosphate binding|low-density lipoprotein particle receptor binding|phosphatidylinositol-4,5-bisphosphate binding|phosphatidylserine binding|phospholipid binding|protein C-terminus binding|protein binding|protein heterodimerization activity|protein homodimerization activity|syntaxin binding|syntaxin-1 binding|syntaxin-3 binding|translation initiation factor binding|ubiquitin protein ligase binding","acrosomal vesicle exocytosis|acrosome reaction|asynchronous neurotransmitter secretion|autophagy|brain development|calcium ion regulated lysosome exocytosis|calcium ion-regulated exocytosis of neurotransmitter|calcium-dependent activation of synaptic vesicle fusion|calcium-ion regulated exocytosis|cellular response to calcium ion|chemical synaptic transmission|clathrin-dependent synaptic vesicle endocytosis|defecation|dense core granule cytoskeletal transport|detection of calcium ion|establishment of vesicle localization|fast, calcium ion-dependent exocytosis of neurotransmitter|larval locomotory behavior|learning|locomotory behavior|long-term synaptic potentiation|maintenance of presynaptic active zone structure|memory|mushroom body development|negative regulation of calcium ion-dependent exocytosis|negative regulation of catecholamine secretion|negative regulation of clathrin-coated pit assembly|negative regulation of clathrin-dependent endocytosis|negative regulation of cytokine production|negative regulation of dense core granule exocytosis|negative regulation of dopamine secretion|negative regulation of endocytosis|negative regulation of interleukin-6 production|negative regulation of membrane invagination|negative regulation of microglial cell activation|negative regulation of neurotransmitter secretion|negative regulation of phagocytosis|negative regulation of protein secretion|negative regulation of retrograde trans-synaptic signaling by neuropeptide|negative regulation of short-term neuronal synaptic plasticity|negative regulation of synaptic vesicle endocytosis|negative regulation of synaptic vesicle exocytosis|negative regulation of tumor necrosis factor production|negative regulation of vesicle fusion|neurotransmitter secretion|phagocytosis|phagosome-lysosome fusion|plasma membrane repair|positive regulation of Rac protein signal transduction|positive regulation of calcium ion-dependent exocytosis|positive regulation of calcium ion-dependent exocytosis of neurotransmitter|positive regulation of dendrite extension|positive regulation of dense core granule exocytosis|positive regulation of dopamine secretion|positive regulation of glutamate secretion|positive regulation of necrotic cell death|positive regulation of protein localization to phagocytic vesicle|positive regulation of ruffle assembly|positive regulation of synaptic transmission|positive regulation of vesicle fusion|presynaptic dense core vesicle exocytosis|protein heterooligomerization|regulation of actin filament polymerization|regulation of bone remodeling|regulation of calcium ion-dependent exocytosis|regulation of defense response to bacterium|regulation of dopamine secretion|regulation of endocytosis|regulation of glucagon secretion|regulation of insulin secretion|regulation of neuromuscular synaptic transmission|regulation of neurotransmitter secretion|regulation of phagocytosis|regulation of pharyngeal pumping|regulation of pole plasm oskar mRNA localization|regulation of presynaptic dense core granule exocytosis|regulation of regulated secretory pathway|regulation of synapse structure or activity|regulation of synaptic plasticity|regulation of synaptic transmission, glutamatergic|regulation of synaptic vesicle endocytosis|regulation of synaptic vesicle exocytosis|regulation of vesicle fusion|response to calcium ion|response to wounding|rhythmic synaptic transmission|secretory granule maturation|sensory perception of smell|short-term synaptic potentiation|spontaneous exocytosis of neurotransmitter|spontaneous neurotransmitter secretion|spontaneous synaptic transmission|synaptic vesicle clustering|synaptic vesicle endocytosis|synaptic vesicle exocytosis|synaptic vesicle recycling|synchronous neurotransmitter secretion|trans-synaptic signaling by BDNF, modulating synaptic transmission|vesicle docking|vesicle fusion|vesicle fusion with vesicle|vesicle-mediated cholesterol transport|vesicle-mediated transport"
PTHR10026,CYCLIN,CYCLIN-H|CYCLIN DOMAIN-CONTAINING PROTEIN|CYCLIN-T|CYCLIN-T2|CYCLIN-T1|CYCLIN-T1.2|CYCLIN-K|CTD KINASE SUBUNIT BETA|CYCLIN-T1-3|CYCLIN-T1-1|BNAC03G58020D PROTEIN|CYCLIN-T1-4-LIKE|SUBFAMILY NOT NAMED|CYCLIN-T1-5-LIKE ISOFORM X1|CYCLIN-T1-3-RELATED|CYCLIN-T1-1-RELATED|BNAC02G47480D PROTEIN|CYCLIN-T1-2|CYCLIN N-TERMINAL DOMAIN-CONTAINING PROTEIN|CYCLIN-T1-4|CYCLIN-C|CYCLIN-C1-1-RELATED|CYCLIN-C1-2|CYCLIN-Q|CYCLIN-L1|CYCLIN-L2|PROTEIN TEX24|,Eukaryota,7,9,10,15,0,7,6,7,8,10,8,15,18,11,10,12,11,8,9,9,9,18,7,4,10,12,12,10,6,10,13,7,7,9,7,6,30,9,13,7,6,9,5,6,0,8,9,10,4,5,7SK snRNA binding|DNA binding|RNA polymerase II CTD heptapeptide repeat kinase activity|RNA polymerase II core promoter sequence-specific DNA binding|RNA polymerase binding|chromatin binding|cyclin-dependent protein kinase activating kinase regulator activity|cyclin-dependent protein serine/threonine kinase activator activity|cyclin-dependent protein serine/threonine kinase activity|cyclin-dependent protein serine/threonine kinase regulator activity|identical protein binding|kinase activity|protein binding|protein kinase activator activity|protein kinase activity|protein kinase binding|snRNA binding|transcription coactivator binding|transcription coregulator activity|transcription factor binding|transcription regulatory region sequence-specific DNA binding,"DNA-templated transcription, termination|cellular response to DNA damage stimulus|central nervous system development|chaeta development|early viral transcription|embryo development ending in birth or egg hatching|flower development|glomerular visceral epithelial cell development|imaginal disc-derived leg segmentation|in utero embryonic development|late viral transcription|leaf development|negative regulation by host of viral genome replication|negative regulation of mRNA polyadenylation|negative regulation of stem cell differentiation|negative regulation of transcription by RNA polymerase II|negative regulation of triglyceride metabolic process|nematode larval development|phosphorylation of RNA polymerase II C-terminal domain|phosphorylation of RNA polymerase II C-terminal domain serine 2 residues|positive regulation of Atg1/ULK1 kinase complex assembly|positive regulation of DNA-templated transcription, elongation|positive regulation of MAPK cascade|positive regulation of autophagy|positive regulation of histone H3-K4 methylation|positive regulation of histone ubiquitination|positive regulation of phosphorylation of RNA polymerase II C-terminal domain|positive regulation of phosphorylation of RNA polymerase II C-terminal domain serine 2 residues|positive regulation of transcription by RNA polymerase I|positive regulation of transcription by RNA polymerase II|positive regulation of transcription by galactose|positive regulation of transcription from RNA polymerase II promoter involved in meiotic cell cycle|positive regulation of translational fidelity|protein phosphorylation|protein stabilization|protein ubiquitination|reactive oxygen species metabolic process|regulation of aggregation involved in sorocarp development|regulation of cyclin-dependent protein serine/threonine kinase activity|regulation of muscle cell differentiation|regulation of phosphorylation of RNA polymerase II C-terminal domain|regulation of response to water deprivation|regulation of stomatal movement|regulation of transcription by RNA polymerase II|regulation of transcription, DNA-templated|regulation of viral process|response to blue light|response to drug|response to heat|response to salt stress|response to starvation|response to virus|response to water deprivation|sex comb development|skeletal muscle tissue development|snRNA 3'-end processing|stomatal opening|transcription by RNA polymerase II|transcription elongation from RNA polymerase II promoter|transcription initiation from RNA polymerase II promoter|transcription, DNA-templated|trichome morphogenesis"
PTHR10027,CALCIUM-ACTIVATED POTASSIUM CHANNEL ALPHA CHAIN,"SLOWPOKE 2, ISOFORM D|POTASSIUM CHANNEL SUBFAMILY T MEMBER 1|SUBFAMILY NOT NAMED|POTASSIUM CHANNEL SUBFAMILY T MEMBER 2|BK CHANNEL|POTASSIUM CHANNEL SUBFAMILY U MEMBER 1|CALCIUM-ACTIVATED POTASSIUM CHANNEL SUBUNIT ALPHA-1|ION_TRANS DOMAIN-CONTAINING PROTEIN|",Eukaryota,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,6,4,2,0,4,4,4,0,0,actin binding|calcium-activated potassium channel activity|chloride-activated potassium channel activity|identical protein binding|intracellular sodium activated potassium channel activity|large conductance calcium-activated potassium channel activity|ligand-gated ion channel activity involved in regulation of presynaptic membrane potential|outward rectifier potassium channel activity|potassium channel activity|protein binding|protein-containing complex binding|voltage-gated potassium channel activity,"adult walking behavior|aging|behavioral response to ethanol|cell maturation|cellular potassium ion homeostasis|chemical synaptic transmission|circadian behavior|circadian rhythm|eye blink reflex|inner ear auditory receptor cell differentiation|locomotion|locomotor rhythm|male courtship behavior, veined wing generated song production|micturition|modulation of chemical synaptic transmission|negative regulation of cell volume|negative regulation of neuromuscular synaptic transmission|negative regulation of small intestine smooth muscle contraction|neuromuscular process controlling balance|neuronal action potential|pharyngeal pumping|positive regulation of apoptotic process|positive regulation of blood vessel diameter|positive regulation of neuron apoptotic process|positive regulation of neurotransmitter secretion|potassium ion export across plasma membrane|potassium ion transmembrane transport|potassium ion transport|protein stabilization|regulation of aldosterone metabolic process|regulation of blood vessel diameter|regulation of membrane potential|regulation of neurotransmitter secretion|regulation of synaptic growth at neuromuscular junction|relaxation of vascular associated smooth muscle|relaxation of vascular smooth muscle|reproductive process|response to auditory stimulus|response to calcium ion|response to carbon monoxide|response to corticosteroid|response to drug|response to estrogen|response to hypoxia|response to osmotic stress|response to pH|saliva secretion|sarcomere organization|sensory perception of sound|smooth muscle contraction involved in micturition|vasodilation"
PTHR10029,ACYLPHOSPHATASE,ACYLPHOSPHATASE-RELATED|ACYLPHOSPHATASE-2|ACYLPHOSPHATASE-1|ACYLPHOSPHATASE-LIKE DOMAIN-CONTAINING PROTEIN|,LUCA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,2,2,2,0,0,acylphosphatase activity|hydrolase activity|identical protein binding|protein binding,response to heat
